question,answer,visibility,tags
Can I cancel my order?,"For app orders (Talabat, Deliveroo, Carriage), cancellation rules are set by each platform. For direct WhatsApp / catering orders, please give 24 hours notice to cancel without charge.",public,"cancellation, refund, policy"
What is your refund policy?,"If your order doesn't meet our standard — wrong item, missing item, or quality issue — let us know within 24 hours with a photo and your receipt or order number. We'll replace it free of charge or refund through your original payment method (or the delivery app you ordered from). Prepared food cannot be returned for other reasons.",public,"refund, return, quality, policy"
How do I begin the franchise application process?,Submit an inquiry through our website contact form at https://aseertime.com/franchise-app/. Our franchise team will then connect with you to provide detailed information.,public,"franchise, application"
What is the franchise investment level?,"Franchise investment starts from US$500,000. Total cost varies by location size and which brand you choose (Aseer Time, Papa Kunafa, or Farooj Abu Al Abed). We share a detailed financial breakdown after your initial inquiry.",public,"franchise, investment, cost"
What is the timeline for opening a new franchise?,"The process from application to grand opening generally takes 6 to 12 months, depending on location selection, build-out and local permits.",public,"franchise, timeline"
What training and ongoing support do franchisees receive?,"Comprehensive training covering product preparation, customer service and business management. After launch, you get continuous marketing and operational support.",public,"franchise, training, support"
Will you help me pick a location?,"Yes — our team provides expert guidance on site selection, demographic analysis and market viability assessment.",public,"franchise, location"
Can I open multiple locations or franchise different brands?,"Yes — we encourage multi-unit and multi-brand development for qualified franchisees. You can open more than one branch and operate Aseer Time, Papa Kunafa and Farooj Abu Al Abed under one partnership.",public,"franchise, multi-unit, expansion"
Which brands are available to franchise?,"Aseer Time (juices and desserts), Papa Kunafa (kunafa specialist), and Farooj Abu Al Abed (Arabian dining). Chef Abo Steif is coming soon.",public,"franchise, brands"
Where are you currently expanding?,"We're expanding actively across the USA, Canada and Europe, as well as MENA and Asia Pacific. Aseer Time is currently in 15 countries.",public,"franchise, expansion, countries"
What are the franchise fees and royalty rates?,Detailed franchise fee and royalty information is provided after the initial inquiry. Please contact franchise@aseertime.com to receive the full breakdown.,public,"franchise, fees, royalty"
What is the WhatsApp number for ordering?,"You can order directly with us on WhatsApp +965 67090966 or +965 69063797 — useful for catering, gifting and out-of-coverage delivery.",public,"whatsapp, contact, order"
Are you sponsoring any sports teams?,"Yes — Aseer Time is the official juice partner of Sevilla FC for the 2024-25 season. Our logo features on the men's first-team shorts.",public,"sponsorship, sevilla, brand"
Are you hiring?,"For current openings, please email franchise@aseertime.com with your CV. (Dedicated careers email to be confirmed.)",public,"careers, jobs, hiring"
